date time,date,time,seconds since 1970,Water Temperature @1.0m,CurrentDirection @7.0m,CurrentMagnitude @7.0m,Turbidity @26.0m,Water Pressure @26.0m,Water Temperature @26.0m,PAR @26.0m
2014-02-11T00:00:00+1000,11/02/2014,0:00:00,1.39E+09,27.7602,230.0389,0.2047,Not available,Not available,Not available,
2014-02-12T00:00:00+1000,12/02/2014,0:00:00,1.39E+09,27.7266,214.3401,0.2049,Not available,Not available,Not available,
2014-02-13T00:00:00+1000,13/02/2014,0:00:00,1.39E+09,27.6829,216.9757,0.2089,Not available,Not available,Not available,
2014-02-14T00:00:00+1000,14/02/2014,0:00:00,1.39E+09,27.8038,192.1257,0.2449,Not available,Not available,Not available,
2014-02-15T00:00:00+1000,15/02/2014,0:00:00,1.39E+09,27.9761,128.5361,0.3132,Not available,Not available,Not available,
2014-02-16T00:00:00+1000,16/02/2014,0:00:00,1.39E+09,27.8469,133.7843,0.2871,Not available,Not available,Not available,
2014-02-17T00:00:00+1000,17/02/2014,0:00:00,1.39E+09,27.8633,139.7729,0.241,Not available,Not available,Not available,
2014-02-18T00:00:00+1000,18/02/2014,0:00:00,1.39E+09,27.8298,161.9514,0.2133,Not available,Not available,Not available,
2014-02-19T00:00:00+1000,19/02/2014,0:00:00,1.39E+09,27.8602,158.7768,0.2246,Not available,Not available,Not available,
2014-02-20T00:00:00+1000,20/02/2014,0:00:00,1.39E+09,28.3241,132.2284,0.21,Not available,Not available,Not available,
2014-02-21T00:00:00+1000,21/02/2014,0:00:00,1.39E+09,28.1374,150.8596,0.1693,Not available,Not available,Not available,
2014-02-22T00:00:00+1000,22/02/2014,0:00:00,1.39E+09,28.1266,196.4007,0.108,Not available,Not available,Not available,
2014-02-23T00:00:00+1000,23/02/2014,0:00:00,1.39E+09,28.1211,297.0347,0.2308,Not available,Not available,Not available,
2014-02-24T00:00:00+1000,24/02/2014,0:00:00,1.39E+09,28.0709,308.7632,0.2554,Not available,Not available,Not available,
2014-02-25T00:00:00+1000,25/02/2014,0:00:00,1.39E+09,28.0328,235.9972,0.2193,Not available,Not available,Not available,
2014-02-26T00:00:00+1000,26/02/2014,0:00:00,1.39E+09,28.074,204.225,0.2324,Not available,Not available,Not available,
2014-02-27T00:00:00+1000,27/02/2014,0:00:00,1.39E+09,28.0854,197.6099,0.2696,Not available,Not available,Not available,
2014-02-28T00:00:00+1000,28/02/2014,0:00:00,1.39E+09,28.0826,206.7708,0.297,Not available,Not available,Not available,
2014-03-01T00:00:00+1000,1/03/2014,0:00:00,1.39E+09,28.0359,227.5553,0.2983,Not available,Not available,Not available,
2014-03-02T00:00:00+1000,2/03/2014,0:00:00,1.39E+09,28.0072,213.2639,0.2824,Not available,Not available,Not available,
2014-03-03T00:00:00+1000,3/03/2014,0:00:00,1.39E+09,27.9586,235.9738,0.2426,Not available,Not available,Not available,
2014-03-04T00:00:00+1000,4/03/2014,0:00:00,1.39E+09,27.8492,276.7292,0.2844,Not available,Not available,Not available,
2014-03-05T00:00:00+1000,5/03/2014,0:00:00,1.39E+09,27.7795,280.89,0.2036,Not available,Not available,Not available,
2014-03-06T00:00:00+1000,6/03/2014,0:00:00,1.39E+09,27.6565,277.5347,0.1601,Not available,Not available,Not available,
2014-03-07T00:00:00+1000,7/03/2014,0:00:00,1.39E+09,27.6164,301.3799,0.1784,Not available,Not available,Not available,
2014-03-08T00:00:00+1000,8/03/2014,0:00:00,1.39E+09,27.4959,319.559,0.3385,Not available,Not available,Not available,
2014-03-09T00:00:00+1000,9/03/2014,0:00:00,1.39E+09,27.2591,326.3328,0.5166,Not available,Not available,Not available,
2014-03-10T00:00:00+1000,10/03/2014,0:00:00,1.39E+09,26.9854,327.6375,0.417,Not available,Not available,Not available,
2014-03-11T00:00:00+1000,11/03/2014,0:00:00,1.39E+09,26.9893,323.8937,0.421,Not available,Not available,Not available,
2014-03-12T00:00:00+1000,12/03/2014,0:00:00,1.39E+09,26.8301,304.2232,0.306,Not available,Not available,Not available,
2014-03-13T00:00:00+1000,13/03/2014,0:00:00,1.39E+09,26.7716,227.2215,0.214,Not available,Not available,Not available,
2014-03-14T00:00:00+1000,14/03/2014,0:00:00,1.39E+09,26.8588,213.8715,0.2253,Not available,Not available,Not available,
2014-03-15T00:00:00+1000,15/03/2014,0:00:00,1.39E+09,27.0906,172.4389,0.2328,Not available,Not available,Not available,
2014-03-16T00:00:00+1000,16/03/2014,0:00:00,1.39E+09,27.3097,Not available,Not available,Not available,Not available,Not available,Not available
2014-03-19T00:00:00+1000,19/03/2014,0:00:00,1.40E+09,27.1489,Not available,Not available,Not available,Not available,Not available,Not available
2014-03-20T00:00:00+1000,20/03/2014,0:00:00,1.40E+09,27.0736,Not available,Not available,Not available,Not available,Not available,Not available
2014-03-21T00:00:00+1000,21/03/2014,0:00:00,1.40E+09,26.9864,Not available,Not available,Not available,Not available,Not available,Not available
2014-03-22T00:00:00+1000,22/03/2014,0:00:00,1.40E+09,26.9628,Not available,Not available,Not available,Not available,Not available,Not available
2014-03-23T00:00:00+1000,23/03/2014,0:00:00,1.40E+09,27.0113,Not available,Not available,Not available,Not available,Not available,Not available
2014-03-24T00:00:00+1000,24/03/2014,0:00:00,1.40E+09,27.1017,Not available,Not available,Not available,Not available,Not available,Not available
2014-03-25T00:00:00+1000,25/03/2014,0:00:00,1.40E+09,26.8729,Not available,Not available,Not available,Not available,Not available,Not available
2014-03-26T00:00:00+1000,26/03/2014,0:00:00,1.40E+09,26.7379,Not available,Not available,Not available,Not available,Not available,Not available
2014-03-27T00:00:00+1000,27/03/2014,0:00:00,1.40E+09,26.8371,Not available,Not available,Not available,Not available,Not available,Not available
2014-03-28T00:00:00+1000,28/03/2014,0:00:00,1.40E+09,27.188,Not available,Not available,Not available,Not available,Not available,Not available
2014-03-29T00:00:00+1000,29/03/2014,0:00:00,1.40E+09,27.4556,Not available,Not available,Not available,Not available,Not available,Not available
2014-03-30T00:00:00+1000,30/03/2014,0:00:00,1.40E+09,27.4708,Not available,Not available,Not available,Not available,Not available,Not available
2014-03-31T00:00:00+1000,31/03/2014,0:00:00,1.40E+09,27.4558,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-01T00:00:00+1000,1/04/2014,0:00:00,1.40E+09,27.3856,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-02T00:00:00+1000,2/04/2014,0:00:00,1.40E+09,27.3577,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-03T00:00:00+1000,3/04/2014,0:00:00,1.40E+09,27.3152,Not available,Not available,Not available,Not available,Not available,Not available
2014-04-04T00:00:00+1000,4/04/2014,0:00:00,1.40E+09,27.2876,Not available,Not available,Not available,Not available,Not available,Not available
