date time,date,time,seconds since 1970,Water Temperature @1.0m,CurrentDirection @7.0m,CurrentMagnitude @7.0m,CurrentDirection @7.0m,Turbidity @26.0m,Water Pressure @26.0m,Water Temperature @26.0m,PAR @26.0m
2013-09-21T03:30:00+1000,21/09/2013,3:30:00,1.38E+09,24.38,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T03:45:00+1000,21/09/2013,3:45:00,1.38E+09,24.38,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T04:00:00+1000,21/09/2013,4:00:00,1.38E+09,24.38,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T04:15:00+1000,21/09/2013,4:15:00,1.38E+09,24.38,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T04:30:00+1000,21/09/2013,4:30:00,1.38E+09,24.37,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T04:45:00+1000,21/09/2013,4:45:00,1.38E+09,24.38,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T05:00:00+1000,21/09/2013,5:00:00,1.38E+09,24.37,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T05:15:00+1000,21/09/2013,5:15:00,1.38E+09,24.37,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T05:30:00+1000,21/09/2013,5:30:00,1.38E+09,24.37,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T05:45:00+1000,21/09/2013,5:45:00,1.38E+09,24.37,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T06:00:00+1000,21/09/2013,6:00:00,1.38E+09,24.37,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T06:15:00+1000,21/09/2013,6:15:00,1.38E+09,24.38,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T06:30:00+1000,21/09/2013,6:30:00,1.38E+09,24.39,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T06:45:00+1000,21/09/2013,6:45:00,1.38E+09,24.38,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T07:00:00+1000,21/09/2013,7:00:00,1.38E+09,24.39,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T07:15:00+1000,21/09/2013,7:15:00,1.38E+09,24.4,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T07:30:00+1000,21/09/2013,7:30:00,1.38E+09,24.42,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T07:45:00+1000,21/09/2013,7:45:00,1.38E+09,24.44,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T08:00:00+1000,21/09/2013,8:00:00,1.38E+09,24.45,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T08:15:00+1000,21/09/2013,8:15:00,1.38E+09,24.46,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T08:30:00+1000,21/09/2013,8:30:00,1.38E+09,24.49,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T08:45:00+1000,21/09/2013,8:45:00,1.38E+09,24.53,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T09:00:00+1000,21/09/2013,9:00:00,1.38E+09,24.54,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T09:15:00+1000,21/09/2013,9:15:00,1.38E+09,24.62,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T09:30:00+1000,21/09/2013,9:30:00,1.38E+09,24.66,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T09:45:00+1000,21/09/2013,9:45:00,1.38E+09,24.75,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T10:00:00+1000,21/09/2013,10:00:00,1.38E+09,24.75,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T10:15:00+1000,21/09/2013,10:15:00,1.38E+09,24.75,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T10:30:00+1000,21/09/2013,10:30:00,1.38E+09,24.88,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T10:45:00+1000,21/09/2013,10:45:00,1.38E+09,24.77,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T11:00:00+1000,21/09/2013,11:00:00,1.38E+09,24.77,Not available,Not available,Not available,Not available,Not available,Not available,Not available
2013-09-21T11:15:00+1000,21/09/2013,11:15:00,1.38E+09,24.89,Not available,Not available,Not available,Not available,Not available,Not available,Not available
